Rk,Gtm,Date,Opp,Rslt,BA,Opp. Starter (GmeSc)
112,112,Aug 5,SFG,W4-0,.256,J.Samardzija(52)
113,113,Aug 6,SFG,W5-3,.256,C.Menez(41)
114,114,Aug 7,SFG,W4-1,.256,S.Anderson(34)
115,115,Aug 9,NYM,L6-7,.257,M.Stroman(44)
116,116,Aug 10,NYM,L3-4,.257,N.Syndergaard(58)
117,117,Aug 11,NYM,W7-4,.257,J.deGrom(59)
118,118,Aug 12,CIN,W7-6,.258,A.DeSclafani(27)
119,119,Aug 13,CIN,W3-1,.257,A.Wood(47)
120,120,Aug 14,CIN,W17-7,.259,T.Bauer(13)
121,121,Aug 16,MIL,W2-1,.258,A.Houser(71)
122,122,Aug 17,MIL,L14-15,.259,J.Lyles(29)
123,123,Aug 18,MIL,W16-8,.261,C.Anderson(-2)
124,124,Aug 19,PIT,W13-0,.262,T.Williams(14)
125,125,Aug 20,PIT,L1-4,.262,C.Archer(51)
126,126,Aug 21,PIT,W11-1,.262,J.Musgrove(30)
127,127,Aug 22,PIT,W7-1,.263,S.Brault(53)
128,128,Aug 23,CHC,W9-3,.264,J.Lester(22)
129,129,Aug 24,CHC,W7-2,.264,J.Quintana(30)
130,130,Aug 25,CHC,W7-5,.264,C.Hamels(47)
131,131,Aug 27,BAL,L0-2,.263,A.Brooks(73)
132,132,Aug 28,BAL,W8-4,.264,A.Wojciechowski(33)
133,133,Aug 30,MIA,W7-6,.264,E.Hernandez(45)
134,134,Aug 31,MIA,W7-0,.264,P.Lopez(24)
135,135,Sep 1,MIA,W9-3,.264,C.Smith(32)
136,136,Sep 2,NYM,L3-7,.264,N.Syndergaard(81)
137,137,Sep 3,NYM,W11-10,.265,J.deGrom(48)
138,138,Sep 4,NYM,L4-8,.265,Z.Wheeler(50)
139,139,Sep 5,ATL,L2-4,.264,M.Fried(84)
140,140,Sep 6,ATL,L3-4,.264,D.Keuchel(61)
141,141,Sep 7,ATL,L4-5,.263,J.Teheran(69)
142,142,Sep 8,ATL,W9-4,.264,M.Soroka(48)
143,143,Sep 10,MIN,L0-5,.263,J.Berrios(76)
144,144,Sep 11,MIN,W6-2,.263,M.Perez(36)
145,145,Sep 12,MIN,W12-6,.264,K.Gibson(27)
146,146,Sep 13,ATL,L0-5,.263,M.Soroka(71)
147,147,Sep 14,ATL,L1-10,.263,M.Foltynewicz(64)
148,148,Sep 15,ATL,W7-0,.263,M.Fried(24)
149,149,Sep 16,STL,L2-4,.263,D.Hudson(58)
150,150,Sep 17,STL,W6-2,.263,M.Mikolas(47)
151,151,Sep 18,STL,L1-5,.263,A.Wainwright(61)
152,152,Sep 20,MIA,W6-4,.263,R.Dugger(47)
153,153,Sep 21,MIA,W10-4,.263,J.Yamamoto(43)
154,154,Sep 22,MIA,L3-5,.263,P.Lopez(40)
155,155,Sep 23,PHI,W7-2,.263,Z.Eflin(29)
156,156,Sep 24 (1),PHI,W4-1,.263,B.Parker(58)
157,157,Sep 24 (2),PHI,W6-5,.263,A.Nola(44)
158,158,Sep 25,PHI,W5-2,.263,D.Smyly(67)
159,159,Sep 26,PHI,W6-3,.263,J.Vargas(31)
160,160,Sep 27,CLE,W8-2,.264,Z.Plesac(52)
161,161,Sep 28,CLE,W10-7,.264,A.Plutko(9)
162,162,Sep 29,CLE,W8-2,.265,M.Clevinger(33)
